epsilon;loss;accuracy
0.0;1.05981;0.68050
0.005;1.86102;0.48990
0.01;2.86522;0.32940
0.015;3.97119;0.21760
0.02;5.09835;0.13690
0.025;6.19271;0.08430
0.03;7.22138;0.05450
0.035;8.16671;0.03510
0.04;9.02220;0.02260
0.045;9.78754;0.01490
0.05;10.46634;0.01050
0.055;11.06390;0.00820
0.06;11.58627;0.00690
0.065;12.03981;0.00560
0.07;12.43101;0.00470
0.075;12.76642;0.00390
0.08;13.05181;0.00360
0.085;13.29244;0.00340
0.09;13.49288;0.00310
0.095;13.65692;0.00300
0.1;13.78824;0.00300
0.105;13.89018;0.00290
0.11;13.96549;0.00320
0.115;14.01672;0.00330
0.12;14.04602;0.00320
0.125;14.05542;0.00320
0.13;14.04691;0.00370
0.135;14.02206;0.00360
0.14;13.98235;0.00360
0.145;13.92934;0.00370
0.15;13.86472;0.00400
0.155;13.78967;0.00440
0.16;13.70546;0.00470
0.165;13.61319;0.00480
0.17;13.51409;0.00520
0.175;13.40924;0.00520
0.18;13.29949;0.00550
0.185;13.18598;0.00570
0.19;13.06939;0.00570
0.195;12.95048;0.00580
0.2;12.83001;0.00580
0.205;12.70859;0.00570
0.21;12.58680;0.00600
0.215;12.46523;0.00620
0.22;12.34443;0.00640
0.225;12.22491;0.00670
0.23;12.10687;0.00670
0.235;11.99064;0.00680
0.24;11.87666;0.00710
0.245;11.76512;0.00700
0.25;11.65626;0.00700
0.255;11.55035;0.00680
0.26;11.44756;0.00650
0.265;11.34789;0.00650
0.27;11.25149;0.00620
0.275;11.15846;0.00620
0.28;11.06893;0.00630
0.285;10.98281;0.00620
0.29;10.90007;0.00610
0.295;10.82078;0.00600
0.3;10.74489;0.00600
0.305;10.67231;0.00580
0.31;10.60295;0.00570
0.315;10.53683;0.00570
0.32;10.47386;0.00510
0.325;10.41388;0.00510
0.33;10.35674;0.00500
0.335;10.30234;0.00460
0.34;10.25064;0.00450
0.345;10.20159;0.00450
0.35;10.15500;0.00450
0.355;10.11075;0.00490
0.36;10.06880;0.00470
0.365;10.02903;0.00490
0.37;9.99132;0.00490
0.375;9.95563;0.00500
0.38;9.92175;0.00500
0.385;9.88961;0.00530
0.39;9.85909;0.00510
0.395;9.83018;0.00510
0.4;9.80275;0.00540
0.405;9.77669;0.00540
0.41;9.75195;0.00550
0.415;9.72839;0.00530
0.42;9.70605;0.00530
0.425;9.68480;0.00560
0.43;9.66468;0.00570
0.435;9.64554;0.00590
0.44;9.62733;0.00600
0.445;9.61001;0.00600
0.45;9.59357;0.00600
0.455;9.57792;0.00600
0.46;9.56300;0.00630
0.465;9.54872;0.00630
0.47;9.53508;0.00610
0.475;9.52213;0.00610
0.48;9.50983;0.00610
0.485;9.49808;0.00630
0.49;9.48681;0.00640
0.495;9.47601;0.00650
0.5;9.46565;0.00650
0.505;9.45572;0.00650
0.51;9.44619;0.00660
0.515;9.43701;0.00680
0.52;9.42821;0.00690
0.525;9.41977;0.00710
0.53;9.41162;0.00730
0.535;9.40373;0.00740
0.54;9.39614;0.00730
0.545;9.38889;0.00740
0.55;9.38190;0.00730
0.555;9.37518;0.00740
0.56;9.36871;0.00740
0.565;9.36249;0.00730
0.57;9.35649;0.00740
0.575;9.35067;0.00750
0.58;9.34503;0.00760
0.585;9.33956;0.00760
0.59;9.33426;0.00760
0.595;9.32915;0.00770
0.6;9.32424;0.00800
0.605;9.31947;0.00800
0.61;9.31486;0.00810
0.615;9.31044;0.00810
0.62;9.30615;0.00810
0.625;9.30199;0.00810
0.63;9.29796;0.00830
0.635;9.29404;0.00830
0.64;9.29025;0.00830
0.645;9.28656;0.00840
0.65;9.28299;0.00840
0.655;9.27952;0.00850
0.66;9.27620;0.00840
0.665;9.27301;0.00870
0.67;9.26991;0.00880
0.675;9.26686;0.00900
0.68;9.26390;0.00900
0.685;9.26102;0.00900
0.69;9.25821;0.00900
0.695;9.25551;0.00920
0.7;9.25295;0.00930
0.705;9.25050;0.00930
0.71;9.24816;0.00930
0.715;9.24591;0.00930
0.72;9.24371;0.00930
0.725;9.24159;0.00930
0.73;9.23954;0.00940
0.735;9.23756;0.00950
0.74;9.23569;0.00960
0.745;9.23389;0.00960
