epoch;accuracy;loss;val_accuracy;val_loss
0;0.43174;1.7811072557449341;0.5343;1.4773477468490601
1;0.5675;1.3741849186706543;0.5688;1.370632056427002
2;0.62846;1.1895230173492433;0.6502;1.1328272092819214
3;0.66212;1.0801122386169433;0.6706;1.0635418437957764
4;0.6838;1.0135400117874145;0.6438;1.1532655599594117
5;0.70184;0.9518038799667359;0.6552;1.1242738724708556
6;0.71292;0.9176827158546448;0.6989;0.9586397718429566
7;0.72232;0.8839075185394287;0.6763;1.0328634578704834
8;0.73158;0.8543734251022339;0.6939;0.9663125602722168
9;0.73768;0.8338220318984986;0.6988;0.9710135320663452
10;0.74304;0.8164146582603454;0.6707;1.033663240814209
11;0.7502;0.796388932132721;0.7081;0.9426691010475159
12;0.75306;0.7827158610153199;0.7067;0.9485279224395752
13;0.7584;0.7712620199012756;0.6617;1.117783406829834
14;0.76162;0.7616471251869201;0.6908;1.0464569498062133
