epsilon;loss;accuracy
0.0;1.34357;0.68950
0.005;1.46635;0.63260
0.01;1.59675;0.57800
0.015;1.73376;0.52220
0.02;1.87638;0.46540
0.025;2.02350;0.41600
0.03;2.17412;0.37010
0.035;2.32719;0.32640
0.04;2.48176;0.28460
0.045;2.63693;0.25150
0.05;2.79190;0.22350
0.055;2.94594;0.19770
0.06;3.09841;0.17280
0.065;3.24877;0.15230
0.07;3.39659;0.13410
0.075;3.54146;0.11730
0.08;3.68300;0.10450
0.085;3.82099;0.09360
0.09;3.95520;0.08230
0.095;4.08541;0.07490
0.1;4.21143;0.06740
0.105;4.33320;0.06160
0.11;4.45062;0.05470
0.115;4.56360;0.04920
0.12;4.67212;0.04500
0.125;4.77622;0.04040
0.13;4.87588;0.03720
0.135;4.97110;0.03480
0.14;5.06195;0.03150
0.145;5.14850;0.02910
0.15;5.23078;0.02660
0.155;5.30893;0.02480
0.16;5.38300;0.02360
0.165;5.45310;0.02200
0.17;5.51931;0.02120
0.175;5.58179;0.01960
0.18;5.64066;0.01820
0.185;5.69599;0.01760
0.19;5.74791;0.01700
0.195;5.79653;0.01660
0.2;5.84200;0.01580
0.205;5.88444;0.01530
0.21;5.92399;0.01540
0.215;5.96075;0.01540
0.22;5.99485;0.01540
0.225;6.02639;0.01530
0.23;6.05549;0.01500
0.235;6.08224;0.01480
0.24;6.10673;0.01490
0.245;6.12905;0.01520
0.25;6.14935;0.01510
0.255;6.16771;0.01490
0.26;6.18418;0.01520
0.265;6.19886;0.01530
0.27;6.21184;0.01630
0.275;6.22317;0.01650
0.28;6.23289;0.01750
0.285;6.24109;0.01820
0.29;6.24783;0.01880
0.295;6.25315;0.01940
0.3;6.25714;0.02000
0.305;6.25985;0.02060
0.31;6.26134;0.02140
0.315;6.26161;0.02180
0.32;6.26069;0.02230
0.325;6.25864;0.02290
0.33;6.25547;0.02320
0.335;6.25125;0.02410
0.34;6.24602;0.02490
0.345;6.23980;0.02530
0.35;6.23258;0.02600
0.355;6.22445;0.02670
