epsilon;loss;accuracy
0.0;1.78700;0.56000
0.005;2.26793;0.32140
0.01;2.63715;0.20480
0.015;2.89543;0.15560
0.02;3.06069;0.13270
0.025;3.15026;0.12320
0.03;3.17864;0.12320
0.035;3.15722;0.13080
0.04;3.09466;0.14290
0.045;2.99769;0.16300
0.05;2.87370;0.19180
0.055;2.72937;0.23140
0.06;2.57104;0.27780
0.065;2.40653;0.33240
0.07;2.24431;0.38680
0.075;2.09261;0.44450
0.08;1.95818;0.49590
0.085;1.84522;0.53670
0.09;1.75534;0.57260
0.095;1.68734;0.60020
0.1;1.63889;0.61760
0.105;1.60723;0.62910
0.11;1.58992;0.63910
0.115;1.58439;0.64400
0.12;1.58792;0.64720
0.125;1.59915;0.64630
0.13;1.61666;0.64300
0.135;1.64036;0.63910
0.14;1.66950;0.63400
0.145;1.70412;0.62450
0.15;1.74361;0.61850
0.155;1.78824;0.60810
0.16;1.83757;0.59790
0.165;1.89133;0.58490
0.17;1.94965;0.57210
0.175;2.01175;0.55730
0.18;2.07713;0.54410
0.185;2.14516;0.52870
0.19;2.21526;0.51560
0.195;2.28628;0.50130
0.2;2.35740;0.48760
0.205;2.42789;0.47660
0.21;2.49749;0.46130
0.215;2.56588;0.44770
0.22;2.63280;0.43430
0.225;2.69843;0.42050
0.23;2.76239;0.40690
0.235;2.82456;0.39570
0.24;2.88511;0.38520
0.245;2.94424;0.37510
0.25;3.00231;0.36740
0.255;3.05953;0.35980
0.26;3.11592;0.35060
0.265;3.17196;0.34250
0.27;3.22794;0.33450
0.275;3.28454;0.32960
0.28;3.34186;0.32280
0.285;3.40002;0.31860
0.29;3.45911;0.31290
0.295;3.51924;0.30930
0.3;3.58066;0.30550
0.305;3.64354;0.30030
0.31;3.70779;0.29690
0.315;3.77355;0.29060
0.32;3.84089;0.28430
0.325;3.90990;0.28140
0.33;3.98045;0.27790
0.335;4.05255;0.27310
0.34;4.12627;0.26880
0.345;4.20131;0.26600
0.35;4.27744;0.26070
0.355;4.35468;0.25710
0.36;4.43299;0.25310
0.365;4.51238;0.24970
0.37;4.59254;0.24710
0.375;4.67357;0.24370
0.38;4.75531;0.24170
0.385;4.83760;0.23890
0.39;4.92038;0.23650
0.395;5.00363;0.23540
0.4;5.08734;0.23280
0.405;5.17124;0.23100
0.41;5.25539;0.22810
0.415;5.33982;0.22580
0.42;5.42436;0.22330
0.425;5.50889;0.22180
0.43;5.59347;0.21910
0.435;5.67795;0.21730
0.44;5.76216;0.21640
0.445;5.84628;0.21480
0.45;5.93025;0.21250
0.455;6.01396;0.21140
0.46;6.09724;0.21000
