epsilon;loss;accuracy
0.0;3.43731;0.64000
0.005;7.73976;0.31710
0.01;13.73220;0.14940
0.015;19.78965;0.13250
0.02;25.38983;0.13180
0.025;30.53624;0.13160
0.03;35.26367;0.13160
0.035;39.60730;0.13160
0.04;43.60120;0.13160
0.045;47.27974;0.13160
0.05;50.67265;0.13160
0.055;53.80506;0.13160
0.06;56.70190;0.13160
0.065;59.38638;0.13160
0.07;61.87863;0.13160
0.075;64.19274;0.13160
0.08;66.34302;0.13160
0.085;68.34442;0.13160
0.09;70.20982;0.13160
0.095;71.94972;0.13160
0.1;73.57479;0.13160
0.105;75.09382;0.13160
0.11;76.51474;0.13160
0.115;77.84391;0.13160
0.12;79.08975;0.13160
0.125;80.25755;0.13160
0.13;81.35258;0.13160
0.135;82.37911;0.13160
0.14;83.34268;0.13160
0.145;84.24705;0.13160
0.15;85.09608;0.13160
0.155;85.89429;0.13160
0.16;86.64471;0.13160
0.165;87.34957;0.13160
0.17;88.01195;0.13160
0.175;88.63538;0.13160
0.18;89.22265;0.13160
0.185;89.77498;0.13160
0.19;90.29517;0.13160
0.195;90.78502;0.13160
0.2;91.24601;0.13160
0.205;91.67818;0.13160
0.21;92.08381;0.13160
0.215;92.46560;0.13160
0.22;92.82449;0.13160
0.225;93.16038;0.13160
0.23;93.47543;0.13160
0.235;93.77138;0.13160
0.24;94.04857;0.13160
0.245;94.30863;0.13160
0.25;94.55236;0.13160
0.255;94.78044;0.13160
0.26;94.99288;0.13160
0.265;95.19113;0.13160
0.27;95.37583;0.13160
0.275;95.54756;0.13160
0.28;95.70653;0.13160
0.285;95.85370;0.13160
0.29;95.98966;0.13160
0.295;96.11442;0.13160
0.3;96.22929;0.13160
0.305;96.33460;0.13160
0.31;96.43073;0.13160
0.315;96.51743;0.13160
0.32;96.59585;0.13160
0.325;96.66647;0.13160
0.33;96.72898;0.13160
0.335;96.78394;0.13160
0.34;96.83202;0.13160
0.345;96.87389;0.13160
0.35;96.90870;0.13160
0.355;96.93726;0.13160
0.36;96.96021;0.13170
0.365;96.97774;0.13170
0.37;96.98914;0.13170
0.375;96.99607;0.13170
0.38;96.99814;0.13170
0.385;96.99527;0.13170
0.39;96.98752;0.13170
0.395;96.97567;0.13170
0.4;96.95959;0.13170
0.405;96.93836;0.13170
0.41;96.91341;0.13170
0.415;96.88502;0.13170
0.42;96.85320;0.13180
0.425;96.81734;0.13180
0.43;96.77876;0.13180
0.435;96.73758;0.13180
0.44;96.69325;0.13180
0.445;96.64561;0.13180
0.45;96.59512;0.13180
0.455;96.54156;0.13180
0.46;96.48424;0.13190
0.465;96.42394;0.13190
0.47;96.36101;0.13190
0.475;96.29537;0.13190
0.48;96.22655;0.13190
0.485;96.15542;0.13190
0.49;96.08217;0.13190
0.495;96.00605;0.13190
0.5;95.92790;0.13180
0.505;95.84882;0.13180
0.51;95.76798;0.13180
0.515;95.68533;0.13180
0.52;95.60159;0.13180
0.525;95.51663;0.13180
0.53;95.43026;0.13180
0.535;95.34306;0.13180
0.54;95.25521;0.13180
0.545;95.16662;0.13180
0.55;95.07681;0.13180
0.555;94.98683;0.13180
0.56;94.89668;0.13180
0.565;94.80599;0.13180
0.57;94.71471;0.13180
0.575;94.62308;0.13180
0.58;94.53097;0.13180
0.585;94.43805;0.13180
0.59;94.34492;0.13180
0.595;94.25201;0.13180
0.6;94.15972;0.13180
0.605;94.06757;0.13180
0.61;93.97566;0.13180
0.615;93.88412;0.13180
0.62;93.79275;0.13180
0.625;93.70209;0.13180
0.63;93.61198;0.13180
0.635;93.52249;0.13180
0.64;93.43359;0.13180
0.645;93.34510;0.13200
0.65;93.25714;0.13200
0.655;93.17048;0.13200
0.66;93.08461;0.13200
0.665;92.99938;0.13200
0.67;92.91482;0.13200
0.675;92.83064;0.13200
0.68;92.74712;0.13200
0.685;92.66442;0.13200
0.69;92.58244;0.13200
0.695;92.50155;0.13200
0.7;92.42216;0.13200
0.705;92.34430;0.13200
0.71;92.26770;0.13200
0.715;92.19273;0.13200
0.72;92.11876;0.13210
0.725;92.04572;0.13210
0.73;91.97394;0.13210
0.735;91.90370;0.13210
0.74;91.83461;0.13210
0.745;91.76694;0.13210
0.75;91.70124;0.13210
0.755;91.63702;0.13220
0.76;91.57401;0.13220
0.765;91.51257;0.13220
0.77;91.45258;0.13220
0.775;91.39372;0.13220
0.78;91.33613;0.13220
0.785;91.27975;0.13220
0.79;91.22473;0.13220
0.795;91.17111;0.13230
0.8;91.11919;0.13230
0.805;91.06908;0.13230
0.81;91.02052;0.13230
0.815;90.97366;0.13230
0.82;90.92879;0.13230
0.825;90.88566;0.13230
0.83;90.84449;0.13230
0.835;90.80499;0.13230
0.84;90.76718;0.13230
0.845;90.73112;0.13230
0.85;90.69703;0.13230
0.855;90.66506;0.13230
0.86;90.63504;0.13230
0.865;90.60682;0.13230
0.87;90.58042;0.13230
0.875;90.55586;0.13230
0.88;90.53243;0.13230
0.885;90.51034;0.13230
0.89;90.48979;0.13230
0.895;90.47073;0.13230
0.9;90.45316;0.13230
0.905;90.43692;0.13230
0.91;90.42203;0.13230
0.915;90.40869;0.13230
0.92;90.39615;0.13230
0.925;90.38418;0.13230
0.93;90.37322;0.13230
0.935;90.36356;0.13230
0.94;90.35505;0.13230
0.945;90.34751;0.13230
0.95;90.34121;0.13230
0.955;90.33560;0.13230
0.96;90.33084;0.13230
0.965;90.32717;0.13230
0.97;90.32442;0.13230
0.975;90.32236;0.13230
0.98;90.32104;0.13230
0.985;90.32056;0.13230
0.99;90.32037;0.13230
0.995;90.32035;0.13230
1.0;90.32016;0.13230
