epsilon;loss;accuracy
0.0;3.42370;0.63880
0.005;7.80178;0.31620
0.01;13.89184;0.15120
0.015;20.03308;0.13530
0.02;25.70370;0.13450
0.025;30.91374;0.13420
0.03;35.70530;0.13420
0.035;40.11691;0.13420
0.04;44.18159;0.13420
0.045;47.93161;0.13420
0.05;51.39634;0.13420
0.055;54.59964;0.13420
0.06;57.56291;0.13420
0.065;60.30903;0.13420
0.07;62.85553;0.13410
0.075;65.21822;0.13410
0.08;67.41228;0.13410
0.085;69.45234;0.13410
0.09;71.35033;0.13410
0.095;73.11701;0.13410
0.1;74.76359;0.13410
0.105;76.29940;0.13410
0.11;77.73281;0.13410
0.115;79.07138;0.13410
0.12;80.32347;0.13410
0.125;81.49448;0.13410
0.13;82.59062;0.13410
0.135;83.61802;0.13410
0.14;84.58138;0.13410
0.145;85.48463;0.13410
0.15;86.33089;0.13410
0.155;87.12469;0.13410
0.16;87.86980;0.13410
0.165;88.56917;0.13410
0.17;89.22596;0.13410
0.175;89.84366;0.13410
0.18;90.42508;0.13410
0.185;90.97197;0.13410
0.19;91.48635;0.13410
0.195;91.97075;0.13410
0.2;92.42717;0.13410
0.205;92.85644;0.13410
0.21;93.26083;0.13410
0.215;93.64208;0.13410
0.22;94.00103;0.13410
0.225;94.33848;0.13410
0.23;94.65627;0.13410
0.235;94.95554;0.13410
0.24;95.23642;0.13410
0.245;95.50010;0.13410
0.25;95.74831;0.13410
0.255;95.98203;0.13410
0.26;96.20117;0.13410
0.265;96.40711;0.13410
0.27;96.60026;0.13410
0.275;96.78122;0.13410
0.28;96.95021;0.13410
0.285;97.10849;0.13410
0.29;97.25681;0.13410
0.295;97.39445;0.13410
0.3;97.52221;0.13410
0.305;97.64094;0.13410
0.31;97.75078;0.13410
0.315;97.85150;0.13410
0.32;97.94402;0.13410
0.325;98.02864;0.13410
0.33;98.10491;0.13410
0.335;98.17368;0.13410
0.34;98.23577;0.13410
0.345;98.29129;0.13410
0.35;98.33928;0.13410
0.355;98.38075;0.13410
0.36;98.41609;0.13410
0.365;98.44524;0.13410
0.37;98.46845;0.13410
0.375;98.48672;0.13410
0.38;98.49989;0.13410
0.385;98.50756;0.13410
0.39;98.51025;0.13410
0.395;98.50834;0.13410
0.4;98.50235;0.13410
0.405;98.49128;0.13410
0.41;98.47615;0.13410
0.415;98.45687;0.13410
0.42;98.43319;0.13410
0.425;98.40509;0.13410
0.43;98.37355;0.13410
0.435;98.33891;0.13410
0.44;98.30037;0.13410
0.445;98.25824;0.13410
0.45;98.21287;0.13420
0.455;98.16435;0.13430
0.46;98.11246;0.13430
0.465;98.05776;0.13430
0.47;98.00016;0.13430
0.475;97.93985;0.13430
0.48;97.87712;0.13430
0.485;97.81200;0.13430
0.49;97.74445;0.13430
0.495;97.67400;0.13430
0.5;97.60107;0.13430
0.505;97.52586;0.13430
0.51;97.44870;0.13430
0.515;97.36941;0.13430
0.52;97.28847;0.13430
0.525;97.20602;0.13430
0.53;97.12157;0.13430
0.535;97.03560;0.13430
0.54;96.94836;0.13430
