epsilon;loss;accuracy
0.0;1.74947;0.65600
0.005;4.57607;0.14320
0.01;7.25921;0.02510
0.015;8.99323;0.00760
0.02;9.75339;0.00490
0.025;9.67359;0.00680
0.03;8.93022;0.01380
0.035;7.72345;0.03450
0.04;6.27018;0.09240
0.045;4.80416;0.21190
0.05;3.53757;0.37680
0.055;2.58181;0.54860
0.06;1.92751;0.69070
0.065;1.50764;0.79270
0.07;1.24564;0.85650
0.075;1.08187;0.89910
0.08;0.97744;0.92650
0.085;0.90963;0.94310
0.09;0.86482;0.95510
0.095;0.83477;0.96320
0.1;0.81453;0.97000
0.105;0.80092;0.97350
0.11;0.79142;0.97580
0.115;0.78501;0.97800
0.12;0.78082;0.97860
0.125;0.77839;0.97880
0.13;0.77732;0.97900
0.135;0.77762;0.97840
0.14;0.77911;0.97730
0.145;0.78186;0.97680
0.15;0.78581;0.97510
0.155;0.79099;0.97280
0.16;0.79762;0.97130
0.165;0.80588;0.96810
0.17;0.81567;0.96560
0.175;0.82673;0.96230
0.18;0.83909;0.95800
0.185;0.85275;0.95460
0.19;0.86765;0.95180
0.195;0.88366;0.94720
0.2;0.90117;0.94350
0.205;0.92014;0.93820
0.21;0.94036;0.93230
0.215;0.96187;0.92750
0.22;0.98494;0.92250
0.225;1.00965;0.91720
0.23;1.03591;0.90880
0.235;1.06390;0.90210
0.24;1.09358;0.89450
0.245;1.12483;0.88550
0.25;1.15775;0.87520
0.255;1.19231;0.86620
0.26;1.22850;0.85860
0.265;1.26641;0.85050
0.27;1.30599;0.84160
0.275;1.34726;0.83340
0.28;1.39031;0.82120
0.285;1.43514;0.81100
0.29;1.48185;0.79950
0.295;1.53029;0.78810
0.3;1.58040;0.77820
0.305;1.63202;0.76940
0.31;1.68503;0.75890
0.315;1.73940;0.74870
0.32;1.79526;0.73960
0.325;1.85255;0.72950
0.33;1.91112;0.71940
0.335;1.97106;0.70930
0.34;2.03228;0.69730
0.345;2.09470;0.68700
0.35;2.15819;0.67800
0.355;2.22279;0.66770
0.36;2.28843;0.65820
0.365;2.35496;0.64710
0.37;2.42221;0.63720
0.375;2.49024;0.62840
0.38;2.55903;0.61900
0.385;2.62849;0.61070
0.39;2.69857;0.60160
0.395;2.76932;0.59180
0.4;2.84070;0.58200
0.405;2.91245;0.57350
0.41;2.98460;0.56690
0.415;3.05707;0.55970
0.42;3.12985;0.55160
0.425;3.20289;0.54380
0.43;3.27623;0.53680
0.435;3.34990;0.52960
0.44;3.42374;0.52520
0.445;3.49789;0.51890
0.45;3.57210;0.51230
0.455;3.64650;0.50690
0.46;3.72104;0.50080
0.465;3.79568;0.49470
0.47;3.87032;0.48780
0.475;3.94491;0.48370
0.48;4.01935;0.47810
0.485;4.09350;0.47260
0.49;4.16750;0.46700
0.495;4.24124;0.46250
0.5;4.31469;0.45810
0.505;4.38795;0.45370
0.51;4.46111;0.44790
0.515;4.53402;0.44350
0.52;4.60669;0.43850
0.525;4.67914;0.43380
0.53;4.75130;0.42880
0.535;4.82323;0.42440
0.54;4.89478;0.41990
0.545;4.96593;0.41480
0.55;5.03674;0.41110
0.555;5.10725;0.40740
0.56;5.17717;0.40390
0.565;5.24652;0.40010
0.57;5.31538;0.39720
0.575;5.38390;0.39430
0.58;5.45204;0.39100
0.585;5.51978;0.38810
0.59;5.58695;0.38540
0.595;5.65359;0.38220
0.6;5.71984;0.37960
0.605;5.78549;0.37750
0.61;5.85063;0.37570
0.615;5.91509;0.37290
0.62;5.97895;0.36890
0.625;6.04216;0.36660
0.63;6.10489;0.36440
0.635;6.16693;0.36180
0.64;6.22821;0.35910
0.645;6.28881;0.35660
0.65;6.34876;0.35460
0.655;6.40808;0.35160
0.66;6.46661;0.35010
0.665;6.52456;0.34850
0.67;6.58179;0.34690
0.675;6.63832;0.34540
0.68;6.69404;0.34390
0.685;6.74905;0.34190
0.69;6.80332;0.34050
0.695;6.85672;0.33920
0.7;6.90937;0.33740
0.705;6.96130;0.33660
0.71;7.01252;0.33470
0.715;7.06267;0.33380
0.72;7.11201;0.33240
0.725;7.16048;0.33100
0.73;7.20804;0.32970
0.735;7.25477;0.32870
0.74;7.30073;0.32780
0.745;7.34582;0.32660
0.75;7.38982;0.32590
0.755;7.43287;0.32470
0.76;7.47498;0.32310
0.765;7.51597;0.32240
0.77;7.55589;0.32170
0.775;7.59491;0.32080
0.78;7.63307;0.32000
0.785;7.67008;0.31910
0.79;7.70614;0.31840
0.795;7.74133;0.31820
0.8;7.77559;0.31750
0.805;7.80862;0.31710
0.81;7.84070;0.31650
0.815;7.87179;0.31640
0.82;7.90188;0.31590
0.825;7.93093;0.31480
0.83;7.95909;0.31470
0.835;7.98619;0.31410
0.84;8.01218;0.31360
0.845;8.03710;0.31360
0.85;8.06105;0.31320
0.855;8.08409;0.31260
0.86;8.10595;0.31270
0.865;8.12682;0.31190
0.87;8.14677;0.31120
0.875;8.16582;0.31120
0.88;8.18391;0.31070
0.885;8.20120;0.31050
0.89;8.21760;0.30990
0.895;8.23303;0.30960
0.9;8.24758;0.30890
0.905;8.26130;0.30840
0.91;8.27420;0.30820
0.915;8.28611;0.30800
0.92;8.29717;0.30790
0.925;8.30739;0.30740
0.93;8.31675;0.30730
0.935;8.32532;0.30720
0.94;8.33320;0.30680
0.945;8.34035;0.30690
0.95;8.34667;0.30680
0.955;8.35229;0.30660
0.96;8.35724;0.30660
0.965;8.36144;0.30680
0.97;8.36497;0.30690
0.975;8.36795;0.30690
0.98;8.37044;0.30700
0.985;8.37243;0.30710
0.99;8.37396;0.30720
0.995;8.37511;0.30720
1.0;8.37578;0.30720
