epsilon;loss;accuracy
0.0;1.04646;0.69080
0.005;1.63737;0.52340
0.01;2.36494;0.37340
0.015;3.17938;0.25390
0.02;4.02983;0.16330
0.025;4.87524;0.10990
0.03;5.68805;0.07390
0.035;6.45152;0.04840
0.04;7.15696;0.03270
0.045;7.80115;0.02230
0.05;8.38409;0.01550
0.055;8.90787;0.01280
0.06;9.37566;0.01050
0.065;9.79167;0.00910
0.07;10.16016;0.00740
0.075;10.48530;0.00630
0.08;10.77110;0.00610
0.085;11.02142;0.00570
0.09;11.23957;0.00510
0.095;11.42866;0.00450
0.1;11.59150;0.00460
0.105;11.73039;0.00480
0.11;11.84738;0.00480
0.115;11.94454;0.00470
0.12;12.02342;0.00480
0.125;12.08578;0.00450
0.13;12.13310;0.00440
0.135;12.16655;0.00440
0.14;12.18728;0.00430
0.145;12.19639;0.00440
0.15;12.19491;0.00420
0.155;12.18374;0.00430
0.16;12.16398;0.00430
0.165;12.13645;0.00440
0.17;12.10193;0.00460
0.175;12.06105;0.00500
0.18;12.01463;0.00510
0.185;11.96342;0.00520
0.19;11.90796;0.00560
0.195;11.84877;0.00570
0.2;11.78649;0.00560
0.205;11.72170;0.00610
0.21;11.65479;0.00650
0.215;11.58610;0.00680
0.22;11.51616;0.00710
0.225;11.44530;0.00750
0.23;11.37377;0.00780
0.235;11.30184;0.00790
0.24;11.22985;0.00880
0.245;11.15794;0.00900
0.25;11.08638;0.00940
0.255;11.01526;0.00990
0.26;10.94476;0.01040
0.265;10.87514;0.01130
0.27;10.80643;0.01190
0.275;10.73874;0.01230
0.28;10.67218;0.01290
0.285;10.60675;0.01340
0.29;10.54254;0.01410
0.295;10.47954;0.01490
0.3;10.41772;0.01550
0.305;10.35716;0.01620
0.31;10.29793;0.01690
0.315;10.24000;0.01750
0.32;10.18344;0.01890
0.325;10.12820;0.01920
0.33;10.07420;0.01980
0.335;10.02147;0.02050
0.34;9.96999;0.02140
0.345;9.91970;0.02180
0.35;9.87058;0.02230
0.355;9.82267;0.02290
0.36;9.77590;0.02350
0.365;9.73024;0.02450
0.37;9.68568;0.02530
0.375;9.64219;0.02590
0.38;9.59974;0.02600
0.385;9.55830;0.02650
0.39;9.51778;0.02690
0.395;9.47815;0.02770
0.4;9.43946;0.02810
0.405;9.40166;0.02820
0.41;9.36468;0.02830
0.415;9.32848;0.02870
0.42;9.29304;0.02920
0.425;9.25834;0.03010
0.43;9.22437;0.03040
0.435;9.19110;0.03120
0.44;9.15855;0.03180
0.445;9.12663;0.03240
0.45;9.09536;0.03300
0.455;9.06474;0.03360
0.46;9.03475;0.03440
0.465;9.00532;0.03500
0.47;8.97642;0.03540
0.475;8.94810;0.03610
0.48;8.92030;0.03610
0.485;8.89300;0.03680
0.49;8.86616;0.03720
0.495;8.83985;0.03750
0.5;8.81404;0.03760
0.505;8.78867;0.03780
0.51;8.76367;0.03830
0.515;8.73908;0.03830
0.52;8.71492;0.03850
0.525;8.69116;0.03860
0.53;8.66784;0.03860
0.535;8.64492;0.03890
0.54;8.62238;0.03930
0.545;8.60021;0.03930
0.55;8.57840;0.03940
0.555;8.55698;0.03950
0.56;8.53594;0.03940
0.565;8.51522;0.03940
0.57;8.49486;0.03990
0.575;8.47483;0.04030
0.58;8.45511;0.04040
0.585;8.43575;0.04060
0.59;8.41673;0.04070
0.595;8.39805;0.04070
0.6;8.37970;0.04080
0.605;8.36169;0.04070
0.61;8.34398;0.04060
0.615;8.32657;0.04060
0.62;8.30949;0.04070
0.625;8.29272;0.04070
0.63;8.27628;0.04070
0.635;8.26013;0.04090
0.64;8.24431;0.04110
0.645;8.22879;0.04140
0.65;8.21359;0.04160
0.655;8.19869;0.04140
0.66;8.18412;0.04160
0.665;8.16986;0.04170
0.67;8.15590;0.04170
0.675;8.14228;0.04180
0.68;8.12896;0.04200
0.685;8.11590;0.04180
0.69;8.10314;0.04180
0.695;8.09071;0.04190
0.7;8.07859;0.04180
0.705;8.06680;0.04200
0.71;8.05533;0.04220
0.715;8.04421;0.04250
0.72;8.03337;0.04260
0.725;8.02284;0.04260
0.73;8.01259;0.04270
0.735;8.00265;0.04270
0.74;7.99301;0.04260
0.745;7.98366;0.04280
0.75;7.97462;0.04270
0.755;7.96584;0.04270
0.76;7.95732;0.04240
0.765;7.94909;0.04230
0.77;7.94116;0.04230
0.775;7.93347;0.04250
0.78;7.92605;0.04260
0.785;7.91892;0.04250
0.79;7.91204;0.04260
0.795;7.90540;0.04280
0.8;7.89900;0.04290
0.805;7.89291;0.04280
0.81;7.88706;0.04300
0.815;7.88144;0.04310
0.82;7.87608;0.04330
0.825;7.87099;0.04340
0.83;7.86613;0.04340
0.835;7.86148;0.04350
0.84;7.85707;0.04340
0.845;7.85291;0.04350
0.85;7.84900;0.04370
0.855;7.84532;0.04380
0.86;7.84188;0.04380
0.865;7.83866;0.04360
0.87;7.83565;0.04360
0.875;7.83285;0.04350
0.88;7.83026;0.04340
0.885;7.82785;0.04330
0.89;7.82559;0.04340
0.895;7.82351;0.04340
0.9;7.82159;0.04350
0.905;7.81984;0.04360
0.91;7.81822;0.04370
0.915;7.81676;0.04380
0.92;7.81543;0.04380
0.925;7.81424;0.04360
0.93;7.81318;0.04340
0.935;7.81224;0.04350
0.94;7.81142;0.04340
0.945;7.81071;0.04340
0.95;7.81011;0.04340
0.955;7.80961;0.04340
0.96;7.80920;0.04340
0.965;7.80888;0.04340
0.97;7.80865;0.04340
0.975;7.80848;0.04340
0.98;7.80836;0.04340
0.985;7.80830;0.04340
0.99;7.80828;0.04340
0.995;7.80828;0.04340
1.0;7.80828;0.04340
