epsilon;loss;accuracy
0.0;1.46188;0.64650
0.005;1.54470;0.60800
0.01;1.63048;0.56800
0.015;1.71886;0.52770
0.02;1.80948;0.48740
0.025;1.90198;0.44540
0.03;1.99602;0.41020
0.035;2.09126;0.37610
0.04;2.18734;0.34380
0.045;2.28398;0.31710
0.05;2.38085;0.29090
0.055;2.47769;0.26500
0.06;2.57423;0.24050
0.065;2.67026;0.21690
0.07;2.76556;0.19880
0.075;2.85993;0.18230
0.08;2.95319;0.16880
0.085;3.04518;0.15500
0.09;3.13578;0.14040
0.095;3.22483;0.12850
0.1;3.31224;0.11620
0.105;3.39789;0.10670
0.11;3.48170;0.09800
0.115;3.56358;0.08990
0.12;3.64349;0.08230
0.125;3.72135;0.07600
0.13;3.79714;0.07120
0.135;3.87082;0.06620
0.14;3.94238;0.06170
0.145;4.01179;0.05760
0.15;4.07901;0.05470
0.155;4.14405;0.05070
0.16;4.20694;0.04730
0.165;4.26768;0.04560
0.17;4.32628;0.04290
0.175;4.38277;0.04100
0.18;4.43719;0.03890
0.185;4.48953;0.03710
0.19;4.53986;0.03570
0.195;4.58820;0.03330
0.2;4.63457;0.03230
0.205;4.67900;0.03150
0.21;4.72155;0.03080
0.215;4.76230;0.02980
0.22;4.80125;0.02940
0.225;4.83840;0.02820
0.23;4.87383;0.02740
0.235;4.90757;0.02710
0.24;4.93964;0.02610
0.245;4.97007;0.02540
0.25;4.99892;0.02490
0.255;5.02625;0.02430
0.26;5.05205;0.02450
0.265;5.07636;0.02400
0.27;5.09921;0.02370
0.275;5.12061;0.02340
0.28;5.14060;0.02320
0.285;5.15922;0.02350
0.29;5.17650;0.02340
0.295;5.19247;0.02380
0.3;5.20715;0.02390
0.305;5.22060;0.02420
0.31;5.23283;0.02470
0.315;5.24387;0.02500
0.32;5.25376;0.02520
0.325;5.26251;0.02540
0.33;5.27017;0.02590
0.335;5.27678;0.02640
0.34;5.28235;0.02690
0.345;5.28691;0.02770
0.35;5.29048;0.02840
0.355;5.29309;0.02910
0.36;5.29478;0.02950
0.365;5.29557;0.03010
0.37;5.29550;0.03090
0.375;5.29459;0.03150
0.38;5.29286;0.03190
0.385;5.29032;0.03260
0.39;5.28702;0.03340
0.395;5.28299;0.03400
0.4;5.27825;0.03420
0.405;5.27282;0.03490
0.41;5.26674;0.03570
0.415;5.26001;0.03640
0.42;5.25268;0.03710
0.425;5.24475;0.03780
0.43;5.23625;0.03810
0.435;5.22724;0.03830
0.44;5.21772;0.03880
0.445;5.20772;0.03910
0.45;5.19725;0.03930
0.455;5.18634;0.04030
0.46;5.17502;0.04060
0.465;5.16331;0.04140
0.47;5.15121;0.04180
0.475;5.13877;0.04220
0.48;5.12599;0.04300
0.485;5.11291;0.04380
0.49;5.09953;0.04350
0.495;5.08589;0.04380
0.5;5.07201;0.04430
0.505;5.05791;0.04440
0.51;5.04360;0.04490
0.515;5.02912;0.04490
0.52;5.01447;0.04550
0.525;4.99964;0.04590
0.53;4.98467;0.04680
0.535;4.96959;0.04720
0.54;4.95442;0.04770
0.545;4.93916;0.04790
0.55;4.92386;0.04810
0.555;4.90851;0.04830
0.56;4.89313;0.04820
0.565;4.87775;0.04860
0.57;4.86239;0.04930
0.575;4.84706;0.04960
0.58;4.83175;0.04990
0.585;4.81651;0.05000
0.59;4.80131;0.05070
0.595;4.78617;0.05090
0.6;4.77111;0.05160
0.605;4.75619;0.05200
0.61;4.74137;0.05270
0.615;4.72666;0.05290
0.62;4.71209;0.05300
0.625;4.69768;0.05350
0.63;4.68343;0.05370
0.635;4.66933;0.05400
0.64;4.65541;0.05440
0.645;4.64168;0.05450
0.65;4.62813;0.05500
0.655;4.61477;0.05490
0.66;4.60162;0.05490
0.665;4.58865;0.05520
0.67;4.57589;0.05570
0.675;4.56334;0.05600
