epsilon;loss;accuracy
0.0;1.87303;0.55310
0.005;2.31950;0.38730
0.01;2.64804;0.29200
0.015;2.89066;0.23200
0.02;3.06379;0.19740
0.025;3.18199;0.18050
0.03;3.25697;0.17430
0.035;3.29698;0.17200
0.04;3.31236;0.17700
0.045;3.30819;0.18500
0.05;3.28757;0.20030
0.055;3.25540;0.21830
0.06;3.21637;0.23820
0.065;3.17452;0.25760
0.07;3.13500;0.27600
0.075;3.10232;0.29880
0.08;3.08073;0.31700
0.085;3.07149;0.33780
0.09;3.07446;0.35410
0.095;3.09046;0.36570
0.1;3.11554;0.37580
0.105;3.14731;0.38330
0.11;3.18360;0.38620
0.115;3.22020;0.38860
0.12;3.25697;0.39330
0.125;3.29361;0.39380
0.13;3.32943;0.39530
0.135;3.36408;0.39640
0.14;3.39757;0.39570
0.145;3.43083;0.39520
0.15;3.46315;0.39270
0.155;3.49554;0.39110
0.16;3.52773;0.38820
0.165;3.55919;0.38430
0.17;3.59056;0.38080
0.175;3.62342;0.37940
0.18;3.65786;0.37340
0.185;3.69430;0.36840
0.19;3.73245;0.36140
0.195;3.77237;0.35420
0.2;3.81315;0.34760
0.205;3.85566;0.34050
0.21;3.89922;0.33410
0.215;3.94345;0.32830
0.22;3.98794;0.32050
0.225;4.03209;0.31270
0.23;4.07525;0.30470
0.235;4.11723;0.29590
0.24;4.15787;0.28960
0.245;4.19740;0.28230
0.25;4.23516;0.27430
0.255;4.27087;0.26880
0.26;4.30429;0.26330
0.265;4.33533;0.25760
0.27;4.36399;0.25160
0.275;4.39020;0.24520
0.28;4.41394;0.23890
0.285;4.43533;0.23270
0.29;4.45418;0.22770
0.295;4.47070;0.22230
0.3;4.48490;0.21910
0.305;4.49669;0.21420
0.31;4.50622;0.21020
0.315;4.51344;0.20700
0.32;4.51825;0.20100
0.325;4.52095;0.19760
0.33;4.52175;0.19570
0.335;4.52070;0.19300
0.34;4.51783;0.19060
0.345;4.51336;0.18710
0.35;4.50742;0.18570
0.355;4.49997;0.18210
0.36;4.49112;0.18020
0.365;4.48120;0.17840
0.37;4.47025;0.17680
0.375;4.45840;0.17580
0.38;4.44584;0.17420
0.385;4.43254;0.17160
0.39;4.41851;0.16950
0.395;4.40390;0.16780
0.4;4.38871;0.16680
0.405;4.37311;0.16690
0.41;4.35719;0.16530
0.415;4.34096;0.16450
0.42;4.32441;0.16440
0.425;4.30770;0.16420
0.43;4.29092;0.16460
0.435;4.27403;0.16450
0.44;4.25711;0.16460
0.445;4.24012;0.16480
0.45;4.22301;0.16380
0.455;4.20580;0.16400
0.46;4.18867;0.16370
0.465;4.17164;0.16250
0.47;4.15473;0.16250
0.475;4.13799;0.16220
0.48;4.12145;0.16230
0.485;4.10502;0.16260
0.49;4.08874;0.16250
0.495;4.07270;0.16340
0.5;4.05689;0.16350
0.505;4.04124;0.16290
0.51;4.02583;0.16280
0.515;4.01076;0.16260
0.52;3.99596;0.16270
0.525;3.98140;0.16330
0.53;3.96715;0.16390
0.535;3.95317;0.16400
0.54;3.93936;0.16420
0.545;3.92581;0.16460
0.55;3.91257;0.16500
0.555;3.89959;0.16610
0.56;3.88689;0.16580
0.565;3.87448;0.16620
0.57;3.86235;0.16620
0.575;3.85048;0.16640
0.58;3.83890;0.16760
0.585;3.82765;0.16810
0.59;3.81669;0.16830
0.595;3.80601;0.16880
0.6;3.79562;0.16940
0.605;3.78554;0.16890
0.61;3.77571;0.16910
0.615;3.76612;0.16950
0.62;3.75680;0.16950
0.625;3.74774;0.17020
0.63;3.73892;0.17080
0.635;3.73032;0.17110
0.64;3.72199;0.17150
0.645;3.71393;0.17220
0.65;3.70616;0.17210
0.655;3.69861;0.17210
0.66;3.69131;0.17250
0.665;3.68420;0.17280
0.67;3.67728;0.17340
0.675;3.67058;0.17410
0.68;3.66410;0.17460
0.685;3.65785;0.17480
0.69;3.65183;0.17460
0.695;3.64603;0.17470
0.7;3.64044;0.17470
0.705;3.63503;0.17510
0.71;3.62981;0.17560
0.715;3.62478;0.17560
0.72;3.61993;0.17520
0.725;3.61526;0.17520
0.73;3.61079;0.17530
0.735;3.60650;0.17530
0.74;3.60237;0.17540
0.745;3.59840;0.17550
0.75;3.59460;0.17550
0.755;3.59097;0.17600
0.76;3.58750;0.17620
0.765;3.58420;0.17580
0.77;3.58108;0.17610
0.775;3.57809;0.17610
0.78;3.57524;0.17630
0.785;3.57252;0.17620
0.79;3.56995;0.17650
0.795;3.56752;0.17660
0.8;3.56521;0.17670
0.805;3.56304;0.17690
0.81;3.56099;0.17690
0.815;3.55908;0.17690
0.82;3.55727;0.17700
0.825;3.55557;0.17710
0.83;3.55395;0.17720
0.835;3.55242;0.17720
0.84;3.55099;0.17710
0.845;3.54966;0.17710
0.85;3.54841;0.17700
0.855;3.54725;0.17700
0.86;3.54618;0.17730
0.865;3.54519;0.17770
0.87;3.54428;0.17760
0.875;3.54343;0.17730
0.88;3.54264;0.17740
0.885;3.54190;0.17740
0.89;3.54123;0.17770
0.895;3.54063;0.17780
0.9;3.54008;0.17760
0.905;3.53959;0.17750
0.91;3.53915;0.17740
0.915;3.53876;0.17730
0.92;3.53841;0.17720
0.925;3.53810;0.17720
0.93;3.53782;0.17710
0.935;3.53758;0.17710
0.94;3.53737;0.17710
0.945;3.53720;0.17710
0.95;3.53705;0.17710
0.955;3.53693;0.17710
0.96;3.53683;0.17710
0.965;3.53673;0.17700
0.97;3.53666;0.17700
0.975;3.53661;0.17710
0.98;3.53655;0.17720
0.985;3.53652;0.17720
0.99;3.53649;0.17700
0.995;3.53648;0.17700
1.0;3.53647;0.17700
