epsilon;loss;accuracy
0.0;1.33182;0.72490
0.005;2.07408;0.52000
0.01;3.03505;0.34660
0.015;4.11592;0.22060
0.02;5.22884;0.13510
0.025;6.31204;0.08270
0.03;7.32805;0.05160
0.035;8.25801;0.03160
0.04;9.09522;0.02180
0.045;9.84113;0.01550
0.05;10.50147;0.01220
0.055;11.08397;0.01070
0.06;11.59621;0.00950
0.065;12.04554;0.00900
0.07;12.43901;0.00870
0.075;12.78234;0.00880
0.08;13.08012;0.00840
0.085;13.33676;0.00870
0.09;13.55606;0.00900
0.095;13.74148;0.00900
0.1;13.89624;0.00930
0.105;14.02313;0.00870
0.11;14.12508;0.00840
0.115;14.20412;0.00850
0.12;14.26250;0.00860
0.125;14.30246;0.00850
0.13;14.32545;0.00930
0.135;14.33292;0.00960
0.14;14.32643;0.00930
0.145;14.30727;0.00960
0.15;14.27676;0.01010
0.155;14.23591;0.01040
0.16;14.18585;0.01100
0.165;14.12759;0.01140
0.17;14.06206;0.01160
0.175;13.99015;0.01170
0.18;13.91275;0.01190
0.185;13.83056;0.01200
0.19;13.74452;0.01220
0.195;13.65524;0.01270
0.2;13.56321;0.01320
0.205;13.46906;0.01380
0.21;13.37349;0.01490
0.215;13.27686;0.01520
0.22;13.17959;0.01550
0.225;13.08205;0.01570
0.23;12.98467;0.01670
0.235;12.88769;0.01710
0.24;12.79126;0.01740
0.245;12.69567;0.01830
0.25;12.60106;0.01870
0.255;12.50766;0.01880
0.26;12.41569;0.01940
0.265;12.32500;0.01980
0.27;12.23576;0.02020
0.275;12.14806;0.02060
0.28;12.06193;0.02080
0.285;11.97744;0.02040
0.29;11.89449;0.02050
0.295;11.81316;0.02080
0.3;11.73348;0.02100
0.305;11.65548;0.02130
0.31;11.57918;0.02140
0.315;11.50461;0.02140
0.32;11.43177;0.02150
0.325;11.36060;0.02130
0.33;11.29114;0.02120
0.335;11.22334;0.02130
0.34;11.15717;0.02130
0.345;11.09260;0.02140
0.35;11.02968;0.02190
0.355;10.96829;0.02160
0.36;10.90846;0.02160
0.365;10.85017;0.02160
0.37;10.79345;0.02180
0.375;10.73812;0.02200
0.38;10.68419;0.02190
0.385;10.63175;0.02250
0.39;10.58080;0.02320
0.395;10.53128;0.02270
0.4;10.48308;0.02260
0.405;10.43632;0.02280
0.41;10.39089;0.02270
0.415;10.34676;0.02300
0.42;10.30395;0.02320
0.425;10.26239;0.02310
0.43;10.22204;0.02290
0.435;10.18290;0.02290
0.44;10.14510;0.02300
0.445;10.10849;0.02300
0.45;10.07303;0.02300
0.455;10.03873;0.02350
0.46;10.00557;0.02340
0.465;9.97347;0.02390
0.47;9.94238;0.02400
0.475;9.91230;0.02370
0.48;9.88325;0.02370
0.485;9.85525;0.02430
0.49;9.82826;0.02440
0.495;9.80229;0.02420
0.5;9.77727;0.02400
0.505;9.75319;0.02400
0.51;9.72998;0.02380
0.515;9.70764;0.02340
0.52;9.68614;0.02350
0.525;9.66543;0.02390
0.53;9.64550;0.02450
0.535;9.62630;0.02450
0.54;9.60780;0.02460
0.545;9.59000;0.02500
0.55;9.57288;0.02520
0.555;9.55647;0.02530
0.56;9.54072;0.02550
0.565;9.52566;0.02570
0.57;9.51124;0.02570
0.575;9.49740;0.02580
0.58;9.48411;0.02580
0.585;9.47138;0.02620
0.59;9.45922;0.02660
0.595;9.44762;0.02690
0.6;9.43658;0.02710
0.605;9.42603;0.02740
0.61;9.41598;0.02780
0.615;9.40646;0.02800
0.62;9.39740;0.02800
0.625;9.38881;0.02810
0.63;9.38065;0.02830
0.635;9.37293;0.02870
0.64;9.36561;0.02890
0.645;9.35866;0.02910
0.65;9.35208;0.02930
0.655;9.34587;0.02980
0.66;9.34004;0.02990
0.665;9.33455;0.02990
0.67;9.32939;0.03000
0.675;9.32456;0.03000
0.68;9.32000;0.03030
