epsilon;loss;accuracy
0.0;0.88077;0.72940
0.005;1.60941;0.52560
0.01;2.56816;0.34010
0.015;3.65857;0.21210
0.02;4.78740;0.12880
0.025;5.88889;0.07460
0.03;6.92442;0.04470
0.035;7.87393;0.02900
0.04;8.72915;0.01780
0.045;9.48824;0.01120
0.05;10.15417;0.00840
0.055;10.73200;0.00610
0.06;11.22840;0.00440
0.065;11.65092;0.00370
0.07;12.00698;0.00320
0.075;12.30468;0.00350
0.08;12.55034;0.00390
0.085;12.75023;0.00420
0.09;12.90997;0.00490
0.095;13.03440;0.00580
0.1;13.12784;0.00670
0.105;13.19392;0.00720
0.11;13.23609;0.00780
0.115;13.25691;0.00830
0.12;13.25903;0.00940
0.125;13.24466;0.00970
0.13;13.21621;0.00980
0.135;13.17577;0.01020
0.14;13.12537;0.01060
0.145;13.06646;0.01090
0.15;13.00049;0.01140
0.155;12.92914;0.01170
0.16;12.85378;0.01230
0.165;12.77553;0.01260
0.17;12.69522;0.01350
0.175;12.61373;0.01400
0.18;12.53207;0.01430
0.185;12.45098;0.01490
0.19;12.37111;0.01530
0.195;12.29276;0.01600
0.2;12.21635;0.01640
0.205;12.14211;0.01700
0.21;12.07014;0.01780
0.215;12.00065;0.01900
0.22;11.93364;0.01950
0.225;11.86913;0.01960
0.23;11.80706;0.02020
0.235;11.74743;0.02180
0.24;11.69012;0.02220
0.245;11.63521;0.02200
0.25;11.58271;0.02320
0.255;11.53248;0.02320
0.26;11.48423;0.02320
0.265;11.43807;0.02420
0.27;11.39393;0.02470
0.275;11.35182;0.02520
0.28;11.31148;0.02550
0.285;11.27286;0.02580
0.29;11.23577;0.02620
0.295;11.20025;0.02680
0.3;11.16633;0.02750
0.305;11.13398;0.02850
0.31;11.10313;0.02880
0.315;11.07374;0.02870
0.32;11.04569;0.02980
0.325;11.01899;0.03050
0.33;10.99360;0.03070
0.335;10.96945;0.03130
0.34;10.94650;0.03170
0.345;10.92469;0.03190
0.35;10.90390;0.03180
0.355;10.88417;0.03240
0.36;10.86554;0.03310
0.365;10.84789;0.03370
0.37;10.83134;0.03480
0.375;10.81583;0.03530
0.38;10.80136;0.03570
0.385;10.78792;0.03570
0.39;10.77543;0.03580
0.395;10.76382;0.03650
0.4;10.75313;0.03680
0.405;10.74332;0.03710
0.41;10.73448;0.03780
0.415;10.72647;0.03830
0.42;10.71927;0.03860
0.425;10.71288;0.03880
0.43;10.70731;0.03940
0.435;10.70250;0.03990
0.44;10.69837;0.04020
0.445;10.69502;0.04070
0.45;10.69232;0.04110
0.455;10.69019;0.04110
0.46;10.68865;0.04140
0.465;10.68769;0.04230
0.47;10.68728;0.04250
0.475;10.68739;0.04330
0.48;10.68808;0.04410
0.485;10.68933;0.04430
0.49;10.69110;0.04440
0.495;10.69333;0.04530
0.5;10.69601;0.04590
0.505;10.69916;0.04610
0.51;10.70276;0.04620
0.515;10.70667;0.04670
0.52;10.71096;0.04710
0.525;10.71565;0.04740
0.53;10.72065;0.04780
0.535;10.72590;0.04820
0.54;10.73145;0.04890
0.545;10.73722;0.04920
0.55;10.74324;0.04950
0.555;10.74954;0.04980
0.56;10.75614;0.05060
0.565;10.76294;0.05080
0.57;10.76990;0.05130
0.575;10.77701;0.05160
0.58;10.78430;0.05200
0.585;10.79173;0.05200
0.59;10.79923;0.05250
0.595;10.80700;0.05300
0.6;10.81501;0.05300
0.605;10.82319;0.05370
0.61;10.83152;0.05380
0.615;10.84002;0.05430
0.62;10.84860;0.05430
0.625;10.85723;0.05420
0.63;10.86590;0.05460
0.635;10.87462;0.05460
0.64;10.88337;0.05490
0.645;10.89221;0.05530
0.65;10.90108;0.05590
0.655;10.91000;0.05610
0.66;10.91894;0.05630
0.665;10.92793;0.05680
0.67;10.93693;0.05690
0.675;10.94590;0.05710
0.68;10.95479;0.05740
0.685;10.96363;0.05730
0.69;10.97244;0.05700
0.695;10.98117;0.05710
0.7;10.98988;0.05760
0.705;10.99856;0.05770
0.71;11.00714;0.05760
0.715;11.01559;0.05790
0.72;11.02401;0.05800
0.725;11.03241;0.05800
0.73;11.04070;0.05830
0.735;11.04887;0.05840
0.74;11.05695;0.05860
0.745;11.06490;0.05860
0.75;11.07269;0.05850
0.755;11.08034;0.05860
0.76;11.08781;0.05880
0.765;11.09512;0.05890
0.77;11.10226;0.05890
0.775;11.10924;0.05880
0.78;11.11611;0.05900
0.785;11.12284;0.05920
0.79;11.12939;0.05940
0.795;11.13577;0.05930
0.8;11.14201;0.05940
0.805;11.14812;0.05970
0.81;11.15407;0.06010
0.815;11.15986;0.06020
0.82;11.16551;0.06030
0.825;11.17095;0.06020
0.83;11.17624;0.06020
0.835;11.18136;0.06020
0.84;11.18633;0.06010
0.845;11.19111;0.06000
0.85;11.19569;0.05990
0.855;11.20016;0.06010
0.86;11.20446;0.06000
0.865;11.20863;0.05990
0.87;11.21270;0.05990
0.875;11.21660;0.05980
0.88;11.22030;0.05990
0.885;11.22385;0.05990
0.89;11.22722;0.06000
0.895;11.23045;0.05990
0.9;11.23357;0.06000
0.905;11.23651;0.06020
0.91;11.23928;0.06010
0.915;11.24185;0.06020
0.92;11.24424;0.06030
0.925;11.24648;0.06030
0.93;11.24855;0.06030
0.935;11.25045;0.06020
0.94;11.25220;0.06020
0.945;11.25381;0.06010
0.95;11.25527;0.06010
0.955;11.25659;0.06010
0.96;11.25776;0.06020
0.965;11.25874;0.06020
0.97;11.25958;0.06020
0.975;11.26030;0.06020
0.98;11.26091;0.06020
0.985;11.26138;0.06020
0.99;11.26173;0.06020
0.995;11.26196;0.06020
1.0;11.26206;0.06020
